Date,Content,Name,Rating
2/1/2019,It is a good and intersting game,Aminul Islam,5
2/1/2019,good,,5
2/1/2019,I PLAY THIS GAME SINCE 2015 AND I LOVE IT VERY MUCH BUT THERE IS ONE PROBLEM IN THIS GAME GEMS I KNOW THERE IS GEM MINE BUT I WANT A GEM STORAGE IN BOTH VILLAGES AND A NEW HERO LIKE GOKU,,5
2/1/2019,so bad,,1
2/1/2019,Really appreciate your hard working to this game nice as u like,,5
2/1/2019,very good apps,,5
2/1/2019,I have 2 accounts and I am loving the new CWL and CG.,Steffanie Cain,5
2/1/2019,This is Verry Good game. I love clash of clan game,,5
2/1/2019,it is the great experience to play good game nice app thanks to crater....,,5
2/1/2019,gud,Michael Manik,5
2/1/2019,nice game my eyes are always glued to the screen I am townhall 10,Sanjeet Kumar,5
2/1/2019,"this game is an great I love it so much 😚😙😙😗😗😍😍this is no one game 🥇🏅this is 9999999999999999999999999999999 million times good than pubg and it is the best game ever I also play this game and I am on th 6 I have max army,spells and defences and I am upgrading my resources",,5
2/1/2019,osssmmm game,,5
2/1/2019,i like this game,RAGINI SHIVHARE,5
2/1/2019,best game EVER MADE,Marilyn Stanley,5
2/1/2019,it's nice,,5
2/1/2019,"It takes way too long to upgrade without paying money. It's fun for the first few town halls, but the it feels like more of a commitment than a game. It's definitely a freemium app game they try to make you spend money on. With that in mind and if your ok with that it's a fun game",Joe Costic,4
2/1/2019,clash of clans is superb game.i realy enjoy it.,Shantha Kumara,5
2/1/2019,he is very very good game play everyone i am advice you coc standard game THANKS SUPERCELL,,5
2/1/2019,Game is trash,Swaroop Kotgire,1
2/1/2019,Clash Of Clans udah mantap lah. tapi lebih mantap nya lagi kalau nama clan nya bisa diganti tapi yang ngganti khusus leader. biar bisa ngganti nama clan ku tuh nama nya kurang pas. oke thanks Supercell 👌👍,Bagas Fbrnt,5
2/1/2019,ok,,5
2/1/2019,good,Technical Akash,4
2/1/2019,awesome,Curious Doggo,4
2/1/2019,Very best games,Satya Prakash Chaubey,5
2/1/2019,Good game,,5
2/1/2019,I love this game. I spent over 80 bucks on this game.,TIM BENNETT,5
2/1/2019,I like this game very much,Sachin kumar Thakur,5
2/1/2019,good game good to play when bord,J M,5
2/1/2019,Excellent,markjay capoquian,5
2/1/2019,oooh,,5
2/1/2019,I like this game,,5
2/1/2019,Love it too addictive,Farook Chunawala,5
2/1/2019,I like this game very much .it is my favourite game.we want new troops grand velcary which can attack both air and land.air with knife and land with axe.and one spell together spell when we take 20 giant in attack it convert 20 giant power in 1 giant for 10 second,,5
2/1/2019,addective....happy,vaishali iyer,4
2/1/2019,i like these game for ever and ever again.,Imkongkala Ao,5
2/1/2019,progress moves at the speed of smell,nolan mann,3
2/1/2019,new update is slow loading,sandeepa dilhara,5
2/1/2019,this is very amazing and addicting hahah,raquel olivar,5
2/1/2019,good sweet nice,,5
2/1/2019,Nice graphics,,5
2/1/2019,i love this game😍🤗,Zi-Lou Louie,5
2/1/2019,This game is best from all games Like Pubg hayday freefire hopeless gtavicecity gtasa gtaV,,5
2/1/2019,this game is a supab,,5
2/1/2019,nice game,,4
2/1/2019,nice addition,Ruban Das,5
2/1/2019,cool amd i have a question if yoi get banned is their any chnce that you can get back you village.? pls answer,,5
2/1/2019,good game,,5
2/1/2019,like,Neil Monzaga,5
2/1/2019,saif,Raju Shaikh,5
2/1/2019,Dope game,James Perlik,5
2/1/2019,"Love the game, but I hate this personal break!",Alberto Vargas,4
2/1/2019,bast game,,5
2/1/2019,very good game,Pravin Devre,5
2/1/2019,I love this game,Manjeet Deol,5
2/1/2019,good,,5
2/1/2019,awesome game i love 😍this game,Amit Kumar,5
2/1/2019,fantastic,,5
2/1/2019,i love it,Ml Virus,5
2/1/2019,super good game. I like it.,,5
2/1/2019,This is agud game i have been playing sine 3to4 yrs. And i am  not bored,trailer box,5
2/1/2019,This game is very lovely,Lalan Yadav,1
2/1/2019,i love it so much,,5
2/1/2019,good app!,Adrian Calleja,5
2/1/2019,good,Judith Galindo,4
2/1/2019,Love this game as my gf,Rajan Paswan,5
2/1/2019,awesome,Lester Salada,5
2/1/2019,Its very vey very Excited game WOW!,Akul Rao,5
2/1/2019,Very good,Afsin Muhammed afsin,5
2/1/2019,i love this game,,3
2/1/2019,booring game,Gamer Surendara,1
2/1/2019,it is so nice game,Pawar Puran.,5
2/1/2019,I love 4th this game 😍 it's very interesting game,Ansh kumar,5
2/1/2019,best game by supercell it should be top 1 game,,5
2/1/2019,This is an amazing app,,5
2/1/2019,very good game,Tj Amano,5
2/1/2019,it's a great game!,,5
2/1/2019,This is very interesting game,,5
2/1/2019,These games have already ruined the studies of the students... Very addictive like tobacco... I do not prefer this game for children. Parents should take care of their wards.....(nothing more to say)!,NARENDRA NATH Paul,1
2/1/2019,It's good 😀😀😀😀😀😄🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🤗🙂🤗🤗🤗🤗🤗🤗🙂🙂🙂🙂🙂🙂🙂,,5
2/1/2019,1:we can attack on them but by entering their code. 2:goggle sign in problem. 3:new troops and upgrades. 4:we can see who r online or not. 5:we can make friendly challenges with others Players. 6:while we r upgrading the king we can use the king in the war. 7we could change gold by elixir or elixir by gold and dark elixir by both gold and elixir please make like this. U will fix all this problems means it will famous all over the world more members also like to play this game.,narayana singh,5
2/1/2019,towln 7 dhitle ha,,1
2/1/2019,lol game pubg is better than it,,1
2/1/2019,it is the best,,5
2/1/2019,good game,,5
2/1/2019,I had delete this game 2 year ago and now I download it because I love it 😍 😍 😘,,5
2/1/2019,good game,zee legend,5
2/1/2019,Nice,Weene Bernie Dancalan,4
2/1/2019,sucks,,1
2/1/2019,Its an amazing entertainment,arivazhagan rajendran,5
2/1/2019,It is best game in the world,,5
2/1/2019,good games for laiser time spending,Kanon Sharker,5
2/1/2019,I am th 7 max my id name is abhinav leadear,abhinav Sharma,5
2/1/2019,I like Si much,james mawia,5
2/1/2019,its fun,,5
2/1/2019,Nice,,5
2/1/2019,Thank you brother,,5
2/1/2019,I love this game this game is very good,Pranab Boro,5
2/1/2019,Good game,,3
2/1/2019,super,,5
2/1/2019,This game is a very very very addictive game and in this game we can also chat and all good features r here! Loved it!,,5
2/1/2019,The game is very fantastic,,5
2/1/2019,wonderful,tirupatinaidu singireddy,5
2/1/2019,interesting game...i like it,kanhaiya kumar,3
2/1/2019,It's a very good game I like it,,5
2/1/2019,love the game,,5
2/1/2019,I love it.,Maritza Rivas,5
2/1/2019,This is nice game,,5
2/1/2019,Its Great Its addicting it has awesome graphics and its fun,Thaiphi Austria,4
2/1/2019,like,Dede Yusuf,5
2/1/2019,mast game👍,,5
2/1/2019,it's a good very nice game 🎮 best strategy game I love it,Rhythm Sinha,5
2/1/2019,its good app i like it.,Parsu Rai,5
2/1/2019,very fun to play on clan with friend and to even get to build a town.,,5
2/1/2019,good,Aniket Tewathiya,4
2/1/2019,good,,5
2/1/2019,very good . nice game . really interesting,Sagar Singh,4
2/1/2019,WOW awesome,Faizan Khan,5
2/1/2019,the game is very good. especially when you get to buy new stuff,,5
2/1/2019,obviously tried to take advantage of the paid system but still keeps me interested after years of free play. worth paying at the beginning hig not later. takes too much money to do almost nothing,jeremiah white,5
2/1/2019,This game is awesome,ryo jin,4
2/1/2019,fun game,Anime Da best,5
2/1/2019,use to be a 10 Star for me since that ant a thing its saying something but the update slow loading and crashes still play it bc im far in th11 but plz fix this,Chris Dogg,3
2/1/2019,world top game,,5
2/1/2019,exultant,Amrit Maniani,5
2/1/2019,best game i like it very much and never thought of deleting it,,5
2/1/2019,this game have feeling 😚☺☺😎😍😘😘😗😶😒😫😪😮😛😛👹😡👺😠😬😨😦😱😾😾👨👨👴🙉,,5
2/1/2019,Downloading content?can't log in anymore?,Chinsanglian Guite,5
2/1/2019,Super game,,5
2/1/2019,fun as fun as fun,,5
2/1/2019,top game,,5
2/1/2019,It is a supper game,,5
2/1/2019,coc is end now pubg start. but this game is also good,Dolar Pramanik,5
2/1/2019,it's so very happy and many friends find,,5
2/1/2019,super game,Dhanekula Ashok kumar,5
2/1/2019,very nice games..,,5
2/1/2019,anblive,,5
2/1/2019,nice game,,5
2/1/2019,Bangladesh flag please,sabbir hossain,5
